date,quote_date,total_mv,total_cost,total_profit,total_return_pct,hs300_close,hs300_date,galaxy_mv,galaxy_cost,galaxy_profit,galaxy_return_pct,eastmoney_mv,eastmoney_cost,eastmoney_profit,eastmoney_return_pct,alipay_mv,alipay_cost,alipay_profit,alipay_return_pct,holding_eastmoney_stock_600961_mv,holding_eastmoney_stock_600961_cost,holding_eastmoney_stock_600961_profit,holding_eastmoney_stock_600961_return_pct,holding_eastmoney_stock_600459_mv,holding_eastmoney_stock_600459_cost,holding_eastmoney_stock_600459_profit,holding_eastmoney_stock_600459_return_pct,holding_eastmoney_stock_000651_mv,holding_eastmoney_stock_000651_cost,holding_eastmoney_stock_000651_profit,holding_eastmoney_stock_000651_return_pct,holding_eastmoney_stock_603993_mv,holding_eastmoney_stock_603993_cost,holding_eastmoney_stock_603993_profit,holding_eastmoney_stock_603993_return_pct,holding_eastmoney_stock_601058_mv,holding_eastmoney_stock_601058_cost,holding_eastmoney_stock_601058_profit,holding_eastmoney_stock_601058_return_pct,holding_eastmoney_lof_161226_mv,holding_eastmoney_lof_161226_cost,holding_eastmoney_lof_161226_profit,holding_eastmoney_lof_161226_return_pct,holding_alipay_otc_012922_mv,holding_alipay_otc_012922_cost,holding_alipay_otc_012922_profit,holding_alipay_otc_012922_return_pct,holding_alipay_otc_015789_mv,holding_alipay_otc_015789_cost,holding_alipay_otc_015789_profit,holding_alipay_otc_015789_return_pct,holding_alipay_otc_017811_mv,holding_alipay_otc_017811_cost,holding_alipay_otc_017811_profit,holding_alipay_otc_017811_return_pct,holding_alipay_otc_160221_mv,holding_alipay_otc_160221_cost,holding_alipay_otc_160221_profit,holding_alipay_otc_160221_return_pct,holding_alipay_otc_022755_mv,holding_alipay_otc_022755_cost,holding_alipay_otc_022755_profit,holding_alipay_otc_022755_return_pct,holding_alipay_otc_018147_mv,holding_alipay_otc_018147_cost,holding_alipay_otc_018147_profit,holding_alipay_otc_018147_return_pct,holding_galaxy_lof_159326_mv,holding_galaxy_lof_159326_cost,holding_galaxy_lof_159326_profit,holding_galaxy_lof_159326_return_pct,holding_galaxy_lof_160644_mv,holding_galaxy_lof_160644_cost,holding_galaxy_lof_160644_profit,holding_galaxy_lof_160644_return_pct,holding_galaxy_lof_161124_mv,holding_galaxy_lof_161124_cost,holding_galaxy_lof_161124_profit,holding_galaxy_lof_161124_return_pct,holding_galaxy_lof_161226_mv,holding_galaxy_lof_161226_cost,holding_galaxy_lof_161226_profit,holding_galaxy_lof_161226_return_pct,holding_galaxy_lof_501026_mv,holding_galaxy_lof_501026_cost,holding_galaxy_lof_501026_profit,holding_galaxy_lof_501026_return_pct,holding_alipay_otc_018147_A_mv,holding_alipay_otc_018147_A_cost,holding_alipay_otc_018147_A_profit,holding_alipay_otc_018147_A_return_pct,holding_alipay_otc_018147_C_mv,holding_alipay_otc_018147_C_cost,holding_alipay_otc_018147_C_profit,holding_alipay_otc_018147_C_return_pct,holding_alipay_otc_012922_A_mv,holding_alipay_otc_012922_A_cost,holding_alipay_otc_012922_A_profit,holding_alipay_otc_012922_A_return_pct,holding_alipay_otc_017811_C_mv,holding_alipay_otc_017811_C_cost,holding_alipay_otc_017811_C_profit,holding_alipay_otc_017811_C_return_pct,holding_alipay_otc_012922_C_mv,holding_alipay_otc_012922_C_cost,holding_alipay_otc_012922_C_profit,holding_alipay_otc_012922_C_return_pct,holding_alipay_otc_161226_A_mv,holding_alipay_otc_161226_A_cost,holding_alipay_otc_161226_A_profit,holding_alipay_otc_161226_A_return_pct,holding_alipay_otc_015789_A_mv,holding_alipay_otc_015789_A_cost,holding_alipay_otc_015789_A_profit,holding_alipay_otc_015789_A_return_pct,holding_alipay_otc_160221_A_mv,holding_alipay_otc_160221_A_cost,holding_alipay_otc_160221_A_profit,holding_alipay_otc_160221_A_return_pct,holding_alipay_otc_022755_A_mv,holding_alipay_otc_022755_A_cost,holding_alipay_otc_022755_A_profit,holding_alipay_otc_022755_A_return_pct,holding_alipay_otc_022755_C_mv,holding_alipay_otc_022755_C_cost,holding_alipay_otc_022755_C_profit,holding_alipay_otc_022755_C_return_pct,holding_galaxy_lof_501312_mv,holding_galaxy_lof_501312_cost,holding_galaxy_lof_501312_profit,holding_galaxy_lof_501312_return_pct
2026-05-29,2026-05-29,111724.7,97753.38,13971.33,14.2924,4892.121,2026-05-29,29526.11,24670.23,4855.88,19.6831,21696.62,21121.21,575.41,2.7243,60501.98,51961.94,8540.04,16.4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,2026-06-01,115392.86,100720.39,14672.47,14.5675,4844.256,2026-06-01,33370.15,27637.24,5732.91,20.7434,21520.72,21121.21,399.52,1.8916,60501.98,51961.94,8540.04,16.4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,2026-06-02,117314.49,100720.39,16594.11,16.4754,4914.559,2026-06-02,34088.11,27637.24,6450.87,23.3412,22724.4,21121.21,1603.2,7.5905,60501.98,51961.94,8540.04,16.4352,5196.0,3459.0,1737.0,50.2168,7035.0,6245.1,789.9,12.6483,3952.0,3980.0,-28.0,-0.7035,3948.0,4599.8,-651.8,-14.1702,1275.0,1641.0,-366.0,-22.3035,1318.4,1196.31,122.1,10.2061,21429.11,12569.35,8859.76,70.487,15666.37,18600.27,-2933.9,-15.7734,12634.62,9321.99,3312.63,35.5357,9036.42,9750.17,-713.75,-7.3204,1395.9,1399.98,-4.08,-0.2914,339.56,320.18,19.38,6.0528,3109.5,3124.5,-15.0,-0.4801,21609.51,15046.09,6563.42,43.6221,5770.75,5934.02,-163.27,-2.7514,1179.15,1280.48,-101.33,-7.9131,2419.2,2252.16,167.04,7.4169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,2026-06-03,116882.68,100720.39,16162.3,16.0467,4938.809,2026-06-03,33439.94,27637.24,5802.7,20.9959,22940.77,21121.21,1819.56,8.6149,60501.98,51961.94,8540.04,16.4352,5214.0,3459.0,1755.0,50.7372,7260.0,6245.1,1014.9,16.2511,3950.0,3980.0,-30.0,-0.7538,3978.0,4599.8,-621.8,-13.518,1255.0,1641.0,-386.0,-23.5222,1283.77,1196.31,87.46,7.3111,21429.11,12569.35,8859.76,70.487,15666.37,18600.27,-2933.9,-15.7734,12634.62,9321.99,3312.63,35.5357,9036.42,9750.17,-713.75,-7.3204,1395.9,1399.98,-4.08,-0.2914,339.56,320.18,19.38,6.0528,3138.0,3124.5,13.5,0.4321,20885.27,15046.09,5839.19,38.8087,5736.97,5934.02,-197.05,-3.3207,1148.17,1280.48,-132.3,-10.3321,2531.52,2252.16,279.36,12.4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,2026-06-04,117245.53,101510.99,15734.55,15.5003,4904.745,2026-06-04,32194.03,27637.24,4556.78,16.4878,22435.4,21121.21,1314.19,6.2221,62616.11,52752.54,9863.57,18.6978,5028.0,3459.0,1569.0,45.3599,7272.0,6245.1,1026.9,16.4433,3888.0,3980.0,-92.0,-2.3116,3748.0,4599.8,-851.8,-18.5182,1235.0,1641.0,-406.0,-24.741,1264.4,1196.31,68.09,5.6919,,,,,,,,,,,,,,,,,,,,,,,,,3139.5,3124.5,15.0,0.4801,19753.65,15046.09,4707.56,31.2876,5635.63,5934.02,-298.39,-5.0285,1130.85,1280.48,-149.63,-11.6851,2534.4,2252.16,282.24,12.532,465.72,420.0,45.72,10.8857,466.33,420.0,46.33,11.0309,1535.68,1210.0,325.68,26.9157,12933.65,9321.99,3611.66,38.7435,20605.64,10930.11,9675.53,88.5218,131.51,200.0,-68.49,-34.245,15529.24,18600.27,-3071.03,-16.5107,9040.66,9750.17,-709.51,-7.2769,953.25,950.0,3.25,0.3421,954.43,950.0,4.43,0.4663,,,,
2026-06-05,2026-06-05,130806.05,116756.35,14049.7,12.0334,4816.92,2026-06-05,45973.19,42702.61,3270.58,7.659,22274.16,21121.21,1152.95,5.4587,62558.7,52932.54,9626.17,18.1857,4884.0,3459.0,1425.0,41.1969,7425.0,6245.1,1179.9,18.8932,3846.0,3980.0,-134.0,-3.3668,3638.0,4599.8,-961.8,-20.9096,1242.0,1641.0,-399.0,-24.3144,1239.16,1196.31,42.85,3.5819,,,,,,,,,,,,,,,,,,,,,,,,,3081.0,3124.5,-43.5,-1.3922,19301.0,15045.78,4255.22,28.2818,5534.29,5934.02,-399.73,-6.7362,1108.28,1280.48,-172.2,-13.4481,2421.12,2252.16,168.96,7.5021,474.57,440.0,34.57,7.8568,475.02,440.0,35.02,7.9591,1540.79,1230.0,310.79,25.2675,12933.65,9321.99,3611.66,38.7435,20424.15,10950.11,9474.04,86.5201,130.9,200.0,-69.1,-34.55,15529.24,18600.27,-3071.03,-16.5107,9040.66,9750.17,-709.51,-7.2769,1004.23,1000.0,4.23,0.4228,1005.49,1000.0,5.49,0.5494,14527.51,15065.67,-538.17,-3.5721
2026-06-08,2026-06-08,126112.62,116756.35,9356.28,8.0135,4713.636,2026-06-08,44268.05,42702.61,1565.44,3.6659,21289.8,21121.21,168.6,0.7982,60554.77,52932.54,7622.24,14.3999,4550.0,3459.0,1091.0,31.5409,7155.0,6245.1,909.9,14.5698,3811.0,3980.0,-169.0,-4.2462,3378.0,4599.8,-1221.8,-26.562,1240.0,1641.0,-401.0,-24.4363,1155.8,1196.31,-40.5,-3.3857,,,,,,,,,,,,,,,,,,,,,,,,,2998.5,3124.5,-126.0,-4.0326,18450.01,15045.78,3404.24,22.6259,5387.91,5934.02,-546.11,-9.203,1033.73,1280.48,-246.75,-19.2702,2384.64,2252.16,132.48,5.8824,433.1,440.0,-6.9,-1.568,433.51,440.0,-6.49,-1.4746,1433.98,1230.0,203.98,16.5834,12302.96,9321.99,2980.97,31.9778,19008.26,10950.11,8058.15,73.5897,122.39,200.0,-77.61,-38.8055,16005.82,18600.27,-2594.45,-13.9484,8847.24,9750.17,-902.93,-9.2607,983.14,1000.0,-16.86,-1.686,984.38,1000.0,-15.62,-1.562,14013.26,15065.67,-1052.41,-6.9855
2026-06-09,2026-06-09,127215.79,116756.35,10459.45,8.9584,4801.811,2026-06-09,46614.66,42702.61,3912.06,9.1612,21414.09,21121.21,292.88,1.3867,59187.04,52932.54,6254.51,11.816,4566.0,3459.0,1107.0,32.0035,7230.0,6245.1,984.9,15.7708,3788.0,3980.0,-192.0,-4.8241,3410.0,4599.8,-1189.8,-25.8663,1259.0,1641.0,-382.0,-23.2785,1161.09,1196.31,-35.22,-2.9441,,,,,,,,,,,,,,,,,,,,,,,,,3112.5,3124.5,-12.0,-0.3841,20260.61,15045.78,5214.84,34.6598,5466.73,5934.02,-467.29,-7.8748,1038.45,1280.48,-242.03,-18.9012,2502.72,2252.16,250.56,11.1253,440.61,440.0,0.61,0.1382,441.03,440.0,1.03,0.2332,1441.64,1230.0,211.64,17.2066,11820.36,9321.99,2498.37,26.8008,19109.87,10950.11,8159.76,74.5176,120.97,200.0,-79.03,-39.5169,15552.85,18600.27,-3047.42,-16.3838,8374.86,9750.17,-1375.31,-14.1055,941.84,1000.0,-58.16,-5.8164,943.02,1000.0,-56.98,-5.6976,14233.65,15065.67,-832.02,-5.5226
